1	48000000	52000000	Region_1
2	86000000	100500000	Region_2
2	134500000	138000000	Region_3
2	183000000	190000000	Region_4
3	47500000	50000000	Region_5
3	83500000	87000000	Region_6
3	89000000	97500000	Region_7
5	44500000	50500000	Region_8
5	98000000	100500000	Region_9
5	129000000	132000000	Region_10
5	135500000	138500000	Region_11
6	25000000	35000000	Region_12
6	57000000	64000000	Region_13
6	140000000	142500000	Region_14
7	55000000	66000000	Region_15
8	7000000	13000000	Region_16
8	43000000	50000000	Region_17
8	112000000	115000000	Region_18
10	37000000	43000000	Region_19
11	46000000	57000000	Region_20
11	87500000	90500000	Region_21
12	33000000	40000000	Region_22
12	109500000	112000000	Region_23
20	32000000	34500000	Region_24
