ID1	ID2	kin	k0	k2	nsnp
HG00236_HG00236	HG00265_HG00265	-0.00967028153042742	1.05241127681343	0.0137301506917169	4828
HG00236_HG00236	HG00342_HG00342	-0.0036021850457234	1.01026952590293	-0.00413921427996477	4828
HG00236_HG00236	HG00375_HG00375	0.00119278302135995	0.971203664480935	-0.0240252034336253	4828
HG00236_HG00236	HG00595_HG00595	0.00457609161885145	0.96593109486624	-0.0157645386583545	4824
HG00236_HG00236	HG00734_HG00734	-0.00363060069299138	1.00420076041017	-0.0103216423617989	4828
HG00236_HG00236	HG01101_HG01101	-0.00325878793345632	1.01392366880098	0.000888517067152515	4828
HG00236_HG00236	HG01171_HG01171	-0.00109500187349936	1.03482220365073	0.0304421961567313	4828
HG00236_HG00236	HG01200_HG01200	-0.00295356794015599	1.00569477516957	-0.00611949659105284	4828
HG00236_HG00236	HG01383_HG01383	-0.0163560778465976	1.07866999253718	0.0132456811507922	4828
HG00236_HG00236	HG01402_HG01402	-0.00170957329823765	0.990663028588775	-0.0161752646041755	4828
HG00236_HG00236	HG01488_HG01488	-0.00436482880559832	1.03881322401063	0.0213539087882327	4828
HG00236_HG00236	HG01685_HG01685	0.000663532259577571	0.976881893871934	-0.0204639770897555	4828
HG00236_HG00236	HG01710_HG01710	0.00182058348166766	0.992942890530684	0.000225224457354883	4828
HG00236_HG00236	HG01921_HG01921	0.0034363406767721	0.98327250085236	-0.00298213644055167	4780
HG00236_HG00236	HG01924_HG01924	0.00287025951681167	0.973510106652367	-0.0150088552803866	4814
HG00236_HG00236	HG02386_HG02386	0.00809204120110362	0.969232211464759	0.00160037626917381	4826
HG00236_HG00236	HG02402_HG02402	-0.0109254379531003	1.03840072234078	-0.00530102947162192	4823
HG00236_HG00236	HG02700_HG02700	0.00493202418437196	0.999649967081805	0.0193780638192933	4828
HG00236_HG00236	HG02727_HG02727	0.000790846390513813	0.988625314385168	-0.00821130005277726	4827
HG00236_HG00236	HG02789_HG02789	-0.00546679524255365	1.00955149079842	-0.01231569017179	4827
HG00236_HG00236	HG02861_HG02861	-0.0117364922019774	1.05748786700828	0.010541898200372	4823
HG00236_HG00236	HG03024_HG03024	-0.00793784343881202	1.02307415593431	-0.00867721782093464	4824
HG00236_HG00236	HG03039_HG03039	0.00303177307020773	0.992388083372888	0.00451517565371895	4793
HG00236_HG00236	HG03074_HG03074	0.0115986963634728	0.964852714869874	0.011247500323765	4821
HG00236_HG00236	HG03625_HG03625	-0.00287714268640001	0.995380193100752	-0.0161283776448475	4828
HG00236_HG00236	HG03636_HG03636	0.00267346093515216	0.982224128716133	-0.0070820275432581	4828
HG00236_HG00236	HG03743_HG03743	0.00147760281697575	0.998124409236903	0.00403482050480635	4827
HG00236_HG00236	HG03780_HG03780	-0.0010327685947556	0.98069321545711	-0.0234378589219126	4827
HG00236_HG00236	HG03796_HG03796	-0.0031557353508422	0.995877513187333	-0.0167454282160362	4827
HG00236_HG00236	HG03849_HG03849	-0.00853771008650525	1.04933564235207	0.0151848020060537	4827
HG00236_HG00236	NA18618_NA18618	-0.00275552433981202	1.01354284534102	0.00252074798177051	4826
HG00236_HG00236	NA18630_NA18630	-0.0093120843639039	1.04219277447642	0.00494443702080473	4826
HG00236_HG00236	NA18642_NA18642	0.00516711157543157	0.984449807677222	0.00511825397894813	4826
HG00236_HG00236	NA18864_NA18864	-0.00481059310898714	1.01363129552683	-0.00561107690911603	4822
HG00236_HG00236	NA18867_NA18867	0.000469022435421349	1.01988652921426	0.0217626189559439	4817
HG00236_HG00236	NA18943_NA18943	0.00221116738814844	0.995434202062024	0.00427887161461801	4826
HG00236_HG00236	NA18953_NA18953	-0.00986075134274089	1.03912618191156	-0.000316823459401808	4826
HG00236_HG00236	NA18970_NA18970	0.00926451776617741	0.988791300933893	0.0258493719986028	4826
HG00236_HG00236	NA19147_NA19147	-0.00520592383940331	1.00992889336717	-0.0108948019904436	4821
HG00236_HG00236	NA19201_NA19201	0.00971622512754819	0.962433870696236	0.00129877120642834	4815
HG00236_HG00236	NA19223_NA19223	-0.0135689157949919	1.05953514132319	0.00525947814321871	4817
HG00236_HG00236	NA19316_NA19316	0.0108322361760241	0.963946147043806	0.00727509174790254	4824
HG00236_HG00236	NA19461_NA19461	0.00208687220883036	0.988198551883165	-0.00345395928151374	4826
HG00236_HG00236	NA19473_NA19473	-0.0108646755484882	1.03598477200226	-0.0074739301916912	4824
HG00236_HG00236	NA20792_NA20792	0.0038453419001145	0.983471534801365	-0.00114709759817726	4828
HG00236_HG00236	NA20798_NA20798	0.008637888512183	0.960363604617805	-0.00508484133346337	4828
HG00236_HG00236	NA20821_NA20821	0.00454029665011261	0.972270159684348	-0.00956865371520139	4828
HG00236_HG00236	NA21097_NA21097	0.00378535594480177	1.00095530598618	0.0160967297653851	4827
HG00246_HG00246	HG00236_HG00236	0.00274988342250096	0.997831123215859	0.00883065690586293	4828
